Feature	Importance
할부금액_무이자_3M_R12M	7402.24365234375
인입일수_IB_R6M	4199.6337890625
이용금액_선결제_B0M	4162.75244140625
정상청구원금_B5M	3857.845458984375
할인금액_청구서_B0M	2687.614501953125
카드이용한도금액_B1M	2640.8740234375
카드이용한도금액_B2M	2367.39599609375
CA한도금액	2345.523193359375
이용금액_체크_B0M	1903.535400390625
이용금액_체크_R3M	1813.6978759765625
탈회횟수_발급1년이내	1495.1112060546875
정상청구원금_B0M	1443.4324951171875
방문일수_앱_B0M	1438.940185546875
이용개월수_할부_무이자_R6M	1290.9356689453125
이용금액_할부_무이자_R12M	1285.5806884765625
이용금액_R3M_신용체크	1200.9786376953125
RP후경과월_아파트	985.0037231445312
RP건수_아파트_B0M	789.630126953125
이용금액_할부_유이자_R3M	770.8746337890625
잔액_신판ca최대한도소진율_r3m	725.7763061523438
이용건수_B페이_R6M	716.603271484375
정상청구원금_B2M	715.9215698242188
최대이용금액_체크_R12M	634.2777709960938
rv최초시작후경과일	628.091552734375
할인금액_청구서_R3M	613.7994384765625
평잔_CA_3M	575.6797485351562
평잔_할부_3M	542.393798828125
쇼핑_백화점_이용금액	519.8963623046875
이용금액_A페이_R3M	512.1727905273438
최종이용일자_CA	512.1279907226562
이용개월수_할부_R12M	500.75506591796875
연체입금원금_B5M	471.9122009277344
RP후경과월_가스	464.10809326171875
최대이용금액_할부_무이자_R12M	458.909423828125
컨택건수_이용유도_LMS_B0M	443.1900329589844
최초한도금액	442.8385314941406
잔액_할부_B2M	435.45416259765625
입회경과개월수_신용	428.98797607421875
CA이자율_할인전	418.8785705566406
최대이용금액_할부_R12M	410.8529052734375
최대이용금액_일시불_R12M	404.4821472167969
이용금액_체크_R12M	373.94683837890625
이용금액_할부_무이자_B0M	370.6753234863281
이용금액_해외	365.99969482421875
이용금액_오프라인_B0M	360.42340087890625
평잔_RV일시불_해외_3M	352.45404052734375
이용개월수_결제일_R6M	342.675048828125
입회일자_신용	337.94366455078125
잔액_리볼빙CA이월_B0M	318.1407775878906
이용건수_신용_R12M	317.7055969238281
이용개월수_할부_유이자_R6M	312.4035339355469
포인트_마일리지_건별_R3M	305.5843200683594
최종카드론_대출이율	282.6184997558594
RP후경과월_렌탈	279.5339660644531
