[I 2025-04-06 17:08:58,607] A new study created in memory with name: no-name-0a578913-3b79-4729-9dc4-d61678f55b26
[I 2025-04-06 17:24:59,615] Trial 0 finished with value: 0.8638938548338271 and parameters: {'iterations': 4000, 'depth': 10, 'learning_rate': 0.7322619478695936, 'l2_leaf_reg': 0.9846738873614566, 'bootstrap_type': 'Bayesian', 'grow_policy': 'Depthwise', 'min_data_in_leaf': 71, 'bagging_temperature': 0.20584494295802447}. Best is trial 0 with value: 0.8638938548338271.
[I 2025-04-06 18:15:28,720] Trial 1 finished with value: 0.9265044139883825 and parameters: {'iterations': 10000, 'depth': 9, 'learning_rate': 0.21312677156759788, 'l2_leaf_reg': 0.008111941985431923, 'bootstrap_type': 'Bernoulli', 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 62, 'subsample': 0.22554447458683766}. Best is trial 1 with value: 0.9265044139883825.
[I 2025-04-06 18:25:15,561] Trial 2 finished with value: 0.8645880104295773 and parameters: {'iterations': 3000, 'depth': 6, 'learning_rate': 0.4566139142328189, 'l2_leaf_reg': 8.43101393208247, 'bootstrap_type': 'Bernoulli', 'grow_policy': 'Lossguide', 'min_data_in_leaf': 18, 'subsample': 0.1585464336867516}. Best is trial 1 with value: 0.9265044139883825.
[I 2025-04-06 18:56:13,734] Trial 3 finished with value: 0.8531397617169623 and parameters: {'iterations': 10000, 'depth': 10, 'learning_rate': 0.8085889507683447, 'l2_leaf_reg': 0.03334792728637585, 'bootstrap_type': 'Bernoulli', 'grow_policy': 'Lossguide', 'min_data_in_leaf': 4, 'subsample': 0.9183883618709039}. Best is trial 1 with value: 0.9265044139883825.
[I 2025-04-06 19:09:43,234] Trial 4 finished with value: 0.83951392962813 and parameters: {'iterations': 3000, 'depth': 8, 'learning_rate': 0.31239936501332155, 'l2_leaf_reg': 0.39841905944346884, 'bootstrap_type': 'Bayesian', 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 90, 'bagging_temperature': 5.978999788110851}. Best is trial 1 with value: 0.9265044139883825.
[I 2025-04-06 19:26:09,639] Trial 5 finished with value: 0.4100994989692975 and parameters: {'iterations': 10000, 'depth': 4, 'learning_rate': 0.19678687955672605, 'l2_leaf_reg': 0.0016832027985721903, 'bootstrap_type': 'Bernoulli', 'grow_policy': 'Depthwise', 'min_data_in_leaf': 29, 'subsample': 0.5884264748424236}. Best is trial 1 with value: 0.9265044139883825.
[I 2025-04-06 19:34:08,811] Trial 6 finished with value: 0.7016089417448745 and parameters: {'iterations': 2000, 'depth': 9, 'learning_rate': 0.07547609303609105, 'l2_leaf_reg': 85.98737339212276, 'bootstrap_type': 'Bayesian', 'grow_policy': 'Depthwise', 'min_data_in_leaf': 73, 'bagging_temperature': 7.712703466859457}. Best is trial 1 with value: 0.9265044139883825.
[I 2025-04-06 19:38:16,131] Trial 7 finished with value: 0.599021938499406 and parameters: {'iterations': 1000, 'depth': 6, 'learning_rate': 0.11675319046560459, 'l2_leaf_reg': 20.67840939783948, 'bootstrap_type': 'Bayesian', 'grow_policy': 'Lossguide', 'min_data_in_leaf': 73, 'bagging_temperature': 6.3755747135521315}. Best is trial 1 with value: 0.9265044139883825.
[I 2025-04-06 20:08:28,542] Trial 8 finished with value: 0.9281485757704309 and parameters: {'iterations': 9000, 'depth': 7, 'learning_rate': 0.1204746516923634, 'l2_leaf_reg': 3.6831884165358977, 'bootstrap_type': 'Bayesian', 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 43, 'bagging_temperature': 0.2541912674409519}. Best is trial 8 with value: 0.9281485757704309.
[I 2025-04-06 20:13:16,046] Trial 9 finished with value: 0.810183940063618 and parameters: {'iterations': 2000, 'depth': 4, 'learning_rate': 0.6367740008525166, 'l2_leaf_reg': 0.03730610475453591, 'bootstrap_type': 'Bernoulli', 'grow_policy': 'Lossguide', 'min_data_in_leaf': 23, 'subsample': 0.1692819188459137}. Best is trial 8 with value: 0.9281485757704309.
[I 2025-04-06 20:35:51,248] Trial 10 finished with value: 0.8849178671463382 and parameters: {'iterations': 7000, 'depth': 7, 'learning_rate': 0.9695675736770781, 'l2_leaf_reg': 2.2716651949429774, 'bootstrap_type': 'Bayesian', 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 43, 'bagging_temperature': 0.10877427136208762}. Best is trial 8 with value: 0.9281485757704309.
[I 2025-04-06 21:01:54,739] Trial 11 finished with value: 0.5104981242830574 and parameters: {'iterations': 8000, 'depth': 8, 'learning_rate': 0.3169514678930264, 'l2_leaf_reg': 0.0011172431178062237, 'bootstrap_type': 'Bernoulli', 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 51, 'subsample': 0.4468995359946669}. Best is trial 8 with value: 0.9281485757704309.
[I 2025-04-06 21:27:42,510] Trial 12 finished with value: 0.7368188496123865 and parameters: {'iterations': 8000, 'depth': 7, 'learning_rate': 0.010318738156147172, 'l2_leaf_reg': 0.026414936021848863, 'bootstrap_type': 'Bernoulli', 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 51, 'subsample': 0.43974485684696596}. Best is trial 8 with value: 0.9281485757704309.
[I 2025-04-06 21:50:20,447] Trial 13 finished with value: 0.5719797877971697 and parameters: {'iterations': 6000, 'depth': 8, 'learning_rate': 0.25444046036011114, 'l2_leaf_reg': 0.005592041924892119, 'bootstrap_type': 'Bayesian', 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 61, 'bagging_temperature': 3.1788188230012366}. Best is trial 8 with value: 0.9281485757704309.
[I 2025-04-06 22:13:31,415] Trial 14 finished with value: 0.8419287985590967 and parameters: {'iterations': 9000, 'depth': 6, 'learning_rate': 0.49413591742093854, 'l2_leaf_reg': 0.1340563596275462, 'bootstrap_type': 'Bayesian', 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 92, 'bagging_temperature': 9.960169893612136}. Best is trial 8 with value: 0.9281485757704309.
[I 2025-04-06 22:51:12,198] Trial 15 finished with value: 0.9403047473414174 and parameters: {'iterations': 9000, 'depth': 9, 'learning_rate': 0.4157914097469369, 'l2_leaf_reg': 2.903024289230021, 'bootstrap_type': 'Bernoulli', 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 44, 'subsample': 0.10309305956372039}. Best is trial 15 with value: 0.9403047473414174.
