Feature	Importance
할부금액_무이자_3M_R12M	5958.2880859375
이용금액_할부_무이자_R12M	5412.615234375
정상청구원금_B5M	4026.322509765625
이용금액_선결제_B0M	3711.630859375
카드이용한도금액_B1M	3407.833740234375
CA한도금액	2269.490478515625
카드이용한도금액_B2M	1950.566162109375
이용금액_R3M_신용체크	1740.0050048828125
이용금액_체크_B0M	1654.95166015625
이용건수_간편결제_B0M	1601.582763671875
할인금액_R3M	1584.3768310546875
청구금액_R6M	1515.6492919921875
이용건수_페이_오프라인_R6M	1506.32861328125
정상청구원금_B0M	1165.6136474609375
RP후경과월_아파트	1151.7032470703125
할인금액_청구서_B0M	963.582763671875
rv최초시작후경과일	883.0964965820312
정상청구원금_B2M	731.7061157226562
RP건수_아파트_B0M	721.6881103515625
이용건수_B페이_R6M	707.6411743164062
이용금액_CA_R12M	633.8734130859375
쇼핑_온라인_이용금액	569.1864013671875
탈회횟수_발급1년이내	564.068359375
최대이용금액_체크_R12M	538.7559814453125
연체입금원금_B5M	527.0076904296875
_1순위여유업종_이용금액	504.78326416015625
마일_잔여포인트_B0M	497.27783203125
이용금액_온라인_B0M	483.50848388671875
입회경과개월수_신용	445.4818115234375
이용개월수_결제일_R6M	417.7880859375
이용개월수_카드론_R12M	397.9613037109375
포인트_마일리지_월적립_B0M	381.8900451660156
평잔_CA_3M	380.8829650878906
최대이용금액_일시불_R12M	376.0794982910156
최초한도금액	373.0750427246094
이용금액_체크_R12M	364.7066955566406
회원여부_이용가능_CA	351.1177978515625
잔액_할부_B2M	342.73516845703125
월중평잔_할부	341.9541015625
잔액_카드론_B3M	341.2138977050781
최종카드론_대출이율	337.2132263183594
평잔_할부_6M	336.22503662109375
교통_철도버스이용금액	331.76275634765625
최종이용일자_CA	329.47418212890625
이용건수_신용_R12M	325.1236572265625
할인금액_청구서_R3M	323.00689697265625
잔액_리볼빙CA이월_B0M	311.810302734375
방문후경과월_PC_R6M	310.7694396972656
증감_RP건수_전기_전월	309.0887451171875
입회일자_신용	296.8987121582031
이용금액_연체_B0M	294.8002014160156
이용금액_오프라인_B0M	293.63946533203125
이용금액_일시불_B0M	289.68572998046875
상담건수_R6M	288.87103271484375
CA이자율_할인전	287.7049255371094
연속유실적개월수_기본_24M_카드	279.7087707519531
증감율_이용건수_할부_분기	274.4296569824219
증감율_이용건수_일시불_전월	262.1630554199219
이용후경과월_할부_유이자	261.79827880859375
